"","GSM580027_HEK293_B1.CEL","GSM580028_HEK293_B2.CEL","GSM580039_HCT116_B1.CEL","GSM580040_HCT116_B2.CEL","GSM993504_H9ES_B1.CEL","GSM993505_H9ES_B2.CEL","GSM993507_HEK293T_B1.CEL","GSM993508_HEK293T_B2.CEL","GSM993509_HeLa-S3_B1.CEL","GSM993510_HeLa-S3_B2.CEL","GSM993511_HeLa-S3_B3.CEL","GSM993518_HepG2_B1.CEL","GSM993519_HepG2_B2.CEL","GSM993520_HepG2_B3.CEL","GSM993543_HUVEC_B1.CEL","GSM993544_HUVEC_B2.CEL","GSM993551_K562_B1.CEL","GSM993553_K562_B2.CEL","GSM993555_K562_B3.CEL"
"3198289",10.487,10.63856,9.399285,9.74949,10.49333,11.45035,10.83684,10.3884,8.426855,8.624402,8.196168,8.307988,8.006283,8.395362,8.026779,7.825785,8.39735,8.411094,8.523861
"3198346",8.437349,8.24184,4.141477,4.122814,7.785446,7.909217,6.095422,6.171764,3.779088,4.042548,3.979256,3.942048,3.923534,4.076142,5.619873,5.811929,4.074182,4.192247,4.108829
"3198974",8.31031,8.106101,3.750174,4.094748,8.218628,8.310991,7.206548,7.264815,4.76119,4.863387,4.991005,6.458847,6.448904,6.668606,7.722681,7.921396,6.238559,6.193727,5.649015
"3199207",9.392579,9.439004,5.930688,5.929769,6.487221,6.147597,6.66463,6.803809,7.762498,7.696585,8.023402,5.188771,5.208241,5.588267,9.169676,9.378942,4.897999,4.554255,4.528175
"3199431",8.106074,7.917197,6.696815,6.175971,6.592514,6.806741,6.053017,5.973957,3.507239,3.87866,3.624387,6.457143,6.240306,6.045595,7.855087,7.889669,4.779916,4.939071,4.595025
"3199500",3.936596,4.278147,4.034524,4.034524,8.447296,4.44696,3.900477,5.011255,3.947683,3.770745,3.633579,3.796729,3.692374,4.297786,3.908671,3.984072,3.988366,4.033869,4.228174
"3199511",3.335466,3.376798,3.551944,3.555732,4.732376,3.829602,3.777938,4.195588,3.245198,3.517825,3.366314,6.90851,6.779209,5.656436,3.51121,3.580101,3.755898,3.693213,3.570387
"3199662",4.868058,4.948566,5.388935,5.28532,6.831954,7.052097,5.515475,5.28532,4.395737,4.354386,4.213386,8.121081,7.688402,7.017622,5.370322,5.147089,4.433477,4.461172,4.609973
"3199790",8.854702,8.7117,8.138178,8.067115,10.76101,10.52408,9.621688,9.797755,8.4067,8.2729,8.390228,7.536567,7.420328,7.124142,7.660104,7.82117,7.83053,8.033368,8.089376
"3200040",7.597369,7.389274,3.796669,4.528995,7.824378,8.017188,5.640055,5.839936,5.597905,5.690319,5.789397,3.896581,3.847495,4.497848,7.216684,7.372321,4.647369,3.990761,4.291633
